what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226383
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226386
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226389
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226391
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226394
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226396
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226397
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226399
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226401
error,log,,,"Error validating E:\\platform_center\\android\\android-sdk-windows\\tools\\lib\\devices.xml",1286262226403
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1286262230041
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.0.201006152250,"org.eclipse.linuxtools.cdt.autotools.ui",1286262230274
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262230601
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286262283253
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286262284405
error,log,,,"Failed to load properties file for project 'gps_aided_imu_filter_app'",1286262295820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262296013
started,bundle,org.eclipse.gmf.xpand.migration,1.0.100.v20100309-2359,"org.eclipse.gmf.xpand.migration",1286262296903
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262297071
started,bundle,com.google.gdt.eclipse.platform.e36,1.3.3.v201006111317,"com.google.gdt.eclipse.platform.e36",1286262297365
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1286262297605
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262306964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262319107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262322898
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1286262322923
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286262322923
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262323680
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262330672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262337053
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262349858
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1286262352569
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1286262352590
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1286262352626
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1286262352662
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1286262352678
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1286262352723
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1286262352788
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1286262352806
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286262353026
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.200.v20100503,"org.eclipse.equinox.p2.updatesite",1286262610913
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1286262640413
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1286262645877
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1286262645921
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.200.v20100503a,"org.eclipse.equinox.p2.touchpoint.natives",1286262646257
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286266032966
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286266033783
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286266038656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286266044330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286266044477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286266047615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286266085373
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286266093559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286267111408
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1286267111981
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286267112120
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286267123206
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1286267123350
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286267137006
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286267182946
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286267183402
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1286267185157
